Accession,Pangolin,Protein,Length,Country,Collection_Date,Year,Month,Day
WAQ41220,B.1,ORF6 protein,61,Nigeria,2021-01-05,2021,1,5
WAQ41221,B.1,ORF7a protein,121,Nigeria,2021-01-05,2021,1,5
WAQ41222,B.1,ORF7b protein,43,Nigeria,2021-01-05,2021,1,5
WAQ41223,B.1,ORF8 protein,121,Nigeria,2021-01-05,2021,1,5
WAQ41224,B.1,nucleocapsid phosphoprotein,418,Nigeria,2021-01-05,2021,1,5
WAQ41225,B.1,ORF10 protein,38,Nigeria,2021-01-05,2021,1,5
WAQ42397,B.1.1.487,ORF1ab polyprotein,7096,Nigeria,2021-01-09,2021,1,9
WAQ42398,B.1.1.487,ORF1a polyprotein,4405,Nigeria,2021-01-09,2021,1,9
WAQ42399,B.1.1.487,surface glycoprotein,1273,Nigeria,2021-01-09,2021,1,9
WAQ42400,B.1.1.487,ORF3a protein,275,Nigeria,2021-01-09,2021,1,9
WAQ42401,B.1.1.487,envelope protein,75,Nigeria,2021-01-09,2021,1,9
WAQ42402,B.1.1.487,membrane glycoprotein,222,Nigeria,2021-01-09,2021,1,9
WAQ42403,B.1.1.487,ORF6 protein,61,Nigeria,2021-01-09,2021,1,9
WAQ42404,B.1.1.487,ORF7a protein,121,Nigeria,2021-01-09,2021,1,9
WAQ42405,B.1.1.487,ORF7b protein,43,Nigeria,2021-01-09,2021,1,9
WAQ42406,B.1.1.487,ORF8 protein,121,Nigeria,2021-01-09,2021,1,9
WAQ42407,B.1.1.487,nucleocapsid phosphoprotein,419,Nigeria,2021-01-09,2021,1,9
WAQ42408,B.1.1.487,ORF10 protein,38,Nigeria,2021-01-09,2021,1,9
WAQ42727,A.21,ORF1ab polyprotein,7096,Nigeria,2021-07-29,2021,7,29
WAQ42728,A.21,ORF1a polyprotein,4405,Nigeria,2021-07-29,2021,7,29
WAQ42729,A.21,surface glycoprotein,1273,Nigeria,2021-07-29,2021,7,29
WAQ42730,A.21,ORF3a protein,275,Nigeria,2021-07-29,2021,7,29
WAQ42731,A.21,envelope protein,75,Nigeria,2021-07-29,2021,7,29
WAQ42732,A.21,membrane glycoprotein,222,Nigeria,2021-07-29,2021,7,29
WAQ42733,A.21,ORF6 protein,61,Nigeria,2021-07-29,2021,7,29
WAQ42734,A.21,ORF7a protein,121,Nigeria,2021-07-29,2021,7,29
WAQ42735,A.21,ORF7b protein,43,Nigeria,2021-07-29,2021,7,29
WAQ42736,A.21,ORF8 protein,121,Nigeria,2021-07-29,2021,7,29
WAQ42737,A.21,nucleocapsid phosphoprotein,419,Nigeria,2021-07-29,2021,7,29
WAQ42738,A.21,ORF10 protein,38,Nigeria,2021-07-29,2021,7,29
WAQ42774,AY.36,ORF1ab polyprotein,7096,Nigeria,2021-08-02,2021,8,2
WAQ42775,AY.36,ORF1a polyprotein,4405,Nigeria,2021-08-02,2021,8,2
WAQ42776,AY.36,surface glycoprotein,1271,Nigeria,2021-08-02,2021,8,2
WAQ42777,AY.36,ORF3a protein,275,Nigeria,2021-08-02,2021,8,2
WAQ42778,AY.36,envelope protein,75,Nigeria,2021-08-02,2021,8,2
WAQ42779,AY.36,membrane glycoprotein,222,Nigeria,2021-08-02,2021,8,2
WAQ42780,AY.36,ORF6 protein,61,Nigeria,2021-08-02,2021,8,2
WAQ42781,AY.36,ORF7a protein,121,Nigeria,2021-08-02,2021,8,2
WAQ42782,AY.36,ORF7b protein,43,Nigeria,2021-08-02,2021,8,2
WAQ42783,AY.36,ORF8 protein,119,Nigeria,2021-08-02,2021,8,2
WAQ42784,AY.36,nucleocapsid phosphoprotein,419,Nigeria,2021-08-02,2021,8,2
WAQ42785,AY.36,ORF10 protein,38,Nigeria,2021-08-02,2021,8,2
WAQ42786,AY.36,ORF1ab polyprotein,7096,Nigeria,2021-07-02,2021,7,2
WAQ42787,AY.36,ORF1a polyprotein,4405,Nigeria,2021-07-02,2021,7,2
WAQ42788,AY.36,surface glycoprotein,1271,Nigeria,2021-07-02,2021,7,2
WAQ42789,AY.36,ORF3a protein,275,Nigeria,2021-07-02,2021,7,2
WAQ42790,AY.36,envelope protein,75,Nigeria,2021-07-02,2021,7,2
WAQ42791,AY.36,membrane glycoprotein,222,Nigeria,2021-07-02,2021,7,2
WAQ42792,AY.36,ORF6 protein,61,Nigeria,2021-07-02,2021,7,2
WAQ42793,AY.36,ORF7a protein,121,Nigeria,2021-07-02,2021,7,2
WAQ42794,AY.36,ORF7b protein,43,Nigeria,2021-07-02,2021,7,2
WAQ42795,AY.36,ORF8 protein,119,Nigeria,2021-07-02,2021,7,2
WAQ42796,AY.36,nucleocapsid phosphoprotein,419,Nigeria,2021-07-02,2021,7,2
WAQ42797,AY.36,ORF10 protein,38,Nigeria,2021-07-02,2021,7,2
WAQ42906,B.1.1.404,ORF1ab polyprotein,7096,Nigeria,2021-07-29,2021,7,29
WAQ42907,B.1.1.404,ORF1a polyprotein,4405,Nigeria,2021-07-29,2021,7,29
WAQ42908,B.1.1.404,surface glycoprotein,1273,Nigeria,2021-07-29,2021,7,29
WAQ42909,B.1.1.404,ORF3a protein,275,Nigeria,2021-07-29,2021,7,29
WAQ42910,B.1.1.404,envelope protein,75,Nigeria,2021-07-29,2021,7,29
WAQ42911,B.1.1.404,membrane glycoprotein,222,Nigeria,2021-07-29,2021,7,29
WAQ42912,B.1.1.404,ORF6 protein,61,Nigeria,2021-07-29,2021,7,29
WAQ42913,B.1.1.404,ORF7a protein,121,Nigeria,2021-07-29,2021,7,29
WAQ42914,B.1.1.404,ORF7b protein,43,Nigeria,2021-07-29,2021,7,29
WAQ42915,B.1.1.404,ORF8 protein,121,Nigeria,2021-07-29,2021,7,29
WAQ42916,B.1.1.404,nucleocapsid phosphoprotein,419,Nigeria,2021-07-29,2021,7,29
WAQ42917,B.1.1.404,ORF10 protein,38,Nigeria,2021-07-29,2021,7,29
WAQ43969,AY.109,ORF1ab polyprotein,7096,Nigeria,2021-08-13,2021,8,13
WAQ43970,AY.109,ORF1a polyprotein,4405,Nigeria,2021-08-13,2021,8,13
WAQ43971,AY.109,surface glycoprotein,1271,Nigeria,2021-08-13,2021,8,13
WAQ43972,AY.109,ORF3a protein,275,Nigeria,2021-08-13,2021,8,13
WAQ43973,AY.109,envelope protein,75,Nigeria,2021-08-13,2021,8,13
WAQ43974,AY.109,membrane glycoprotein,222,Nigeria,2021-08-13,2021,8,13
WAQ43975,AY.109,ORF6 protein,61,Nigeria,2021-08-13,2021,8,13
WAQ43976,AY.109,ORF7a protein,121,Nigeria,2021-08-13,2021,8,13
WAQ43977,AY.109,ORF7b protein,43,Nigeria,2021-08-13,2021,8,13
WAQ43978,AY.109,ORF8 protein,119,Nigeria,2021-08-13,2021,8,13
WAQ43979,AY.109,nucleocapsid phosphoprotein,419,Nigeria,2021-08-13,2021,8,13
WAQ43980,AY.109,ORF10 protein,38,Nigeria,2021-08-13,2021,8,13
WAQ44017,B.1.617.2,ORF1ab polyprotein,7096,Nigeria,2021-08-13,2021,8,13
WAQ44018,B.1.617.2,ORF1a polyprotein,4405,Nigeria,2021-08-13,2021,8,13
WAQ44019,B.1.617.2,surface glycoprotein,1271,Nigeria,2021-08-13,2021,8,13
WAQ44020,B.1.617.2,ORF3a protein,275,Nigeria,2021-08-13,2021,8,13
WAQ44021,B.1.617.2,envelope protein,75,Nigeria,2021-08-13,2021,8,13
WAQ44022,B.1.617.2,membrane glycoprotein,222,Nigeria,2021-08-13,2021,8,13
WAQ44023,B.1.617.2,ORF6 protein,61,Nigeria,2021-08-13,2021,8,13
WAQ44024,B.1.617.2,ORF7a protein,121,Nigeria,2021-08-13,2021,8,13
WAQ44025,B.1.617.2,ORF7b protein,43,Nigeria,2021-08-13,2021,8,13
WAQ44026,B.1.617.2,ORF8 protein,119,Nigeria,2021-08-13,2021,8,13
WAQ44027,B.1.617.2,nucleocapsid phosphoprotein,419,Nigeria,2021-08-13,2021,8,13
WAQ44028,B.1.617.2,ORF10 protein,38,Nigeria,2021-08-13,2021,8,13
WAQ44197,AY.6,ORF1ab polyprotein,7096,Nigeria,2021-08-14,2021,8,14
WAQ44198,AY.6,ORF1a polyprotein,4405,Nigeria,2021-08-14,2021,8,14
WAQ44199,AY.6,surface glycoprotein,1271,Nigeria,2021-08-14,2021,8,14
WAQ44200,AY.6,ORF3a protein,275,Nigeria,2021-08-14,2021,8,14
WAQ44201,AY.6,envelope protein,75,Nigeria,2021-08-14,2021,8,14
WAQ44202,AY.6,membrane glycoprotein,222,Nigeria,2021-08-14,2021,8,14
WAQ44203,AY.6,ORF6 protein,61,Nigeria,2021-08-14,2021,8,14
WAQ44204,AY.6,ORF7a protein,121,Nigeria,2021-08-14,2021,8,14
WAQ44205,AY.6,ORF7b protein,43,Nigeria,2021-08-14,2021,8,14
WAQ44206,AY.6,ORF8 protein,119,Nigeria,2021-08-14,2021,8,14
WAQ44207,AY.6,nucleocapsid phosphoprotein,419,Nigeria,2021-08-14,2021,8,14
WAQ44208,AY.6,ORF10 protein,38,Nigeria,2021-08-14,2021,8,14
WAQ44585,AY.109,ORF1ab polyprotein,7096,Nigeria,2021-07-15,2021,7,15
WAQ44586,AY.109,ORF1a polyprotein,4405,Nigeria,2021-07-15,2021,7,15
WAQ44587,AY.109,surface glycoprotein,1271,Nigeria,2021-07-15,2021,7,15
WAQ44588,AY.109,ORF3a protein,275,Nigeria,2021-07-15,2021,7,15
WAQ44589,AY.109,envelope protein,75,Nigeria,2021-07-15,2021,7,15
WAQ44590,AY.109,membrane glycoprotein,222,Nigeria,2021-07-15,2021,7,15
WAQ44591,AY.109,ORF6 protein,61,Nigeria,2021-07-15,2021,7,15
WAQ44592,AY.109,ORF7a protein,121,Nigeria,2021-07-15,2021,7,15
WAQ44593,AY.109,ORF7b protein,43,Nigeria,2021-07-15,2021,7,15
WAQ44594,AY.109,ORF8 protein,119,Nigeria,2021-07-15,2021,7,15
WAQ44595,AY.109,nucleocapsid phosphoprotein,419,Nigeria,2021-07-15,2021,7,15
WAQ44596,AY.109,ORF10 protein,38,Nigeria,2021-07-15,2021,7,15
WAQ45693,B.1.617.2,ORF1ab polyprotein,7096,Nigeria,2021-07-27,2021,7,27
WAQ45694,B.1.617.2,ORF1a polyprotein,4405,Nigeria,2021-07-27,2021,7,27
WAQ45695,B.1.617.2,surface glycoprotein,1271,Nigeria,2021-07-27,2021,7,27
WAQ45696,B.1.617.2,ORF3a protein,275,Nigeria,2021-07-27,2021,7,27
WAQ45697,B.1.617.2,envelope protein,75,Nigeria,2021-07-27,2021,7,27
WAQ45698,B.1.617.2,membrane glycoprotein,222,Nigeria,2021-07-27,2021,7,27
WAQ45699,B.1.617.2,ORF6 protein,61,Nigeria,2021-07-27,2021,7,27
WAQ45700,B.1.617.2,ORF7a protein,121,Nigeria,2021-07-27,2021,7,27
WAQ45701,B.1.617.2,ORF7b protein,43,Nigeria,2021-07-27,2021,7,27
WAQ45702,B.1.617.2,ORF8 protein,119,Nigeria,2021-07-27,2021,7,27
WAQ45703,B.1.617.2,nucleocapsid phosphoprotein,419,Nigeria,2021-07-27,2021,7,27
WAQ45704,B.1.617.2,ORF10 protein,38,Nigeria,2021-07-27,2021,7,27
WAQ45859,AY.1,ORF1ab polyprotein,7096,Nigeria,2021-07-27,2021,7,27
WAQ45860,AY.1,ORF1a polyprotein,4405,Nigeria,2021-07-27,2021,7,27
WAQ45861,AY.1,surface glycoprotein,1271,Nigeria,2021-07-27,2021,7,27
WAQ45862,AY.1,ORF3a protein,275,Nigeria,2021-07-27,2021,7,27
WAQ45863,AY.1,envelope protein,75,Nigeria,2021-07-27,2021,7,27
WAQ45864,AY.1,membrane glycoprotein,222,Nigeria,2021-07-27,2021,7,27
WAQ45865,AY.1,ORF6 protein,61,Nigeria,2021-07-27,2021,7,27
WAQ45866,AY.1,ORF7a protein,121,Nigeria,2021-07-27,2021,7,27
WAQ45867,AY.1,ORF7b protein,43,Nigeria,2021-07-27,2021,7,27
WAQ45868,AY.1,ORF8 protein,119,Nigeria,2021-07-27,2021,7,27
WAQ45869,AY.1,nucleocapsid phosphoprotein,419,Nigeria,2021-07-27,2021,7,27
WAQ45870,AY.1,ORF10 protein,38,Nigeria,2021-07-27,2021,7,27
WAQ46049,AY.99,ORF1ab polyprotein,7096,Nigeria,2021-08-03,2021,8,3
WAQ46050,AY.99,ORF1a polyprotein,4405,Nigeria,2021-08-03,2021,8,3
WAQ46051,AY.99,surface glycoprotein,1271,Nigeria,2021-08-03,2021,8,3
WAQ46052,AY.99,ORF3a protein,275,Nigeria,2021-08-03,2021,8,3
WAQ46053,AY.99,envelope protein,75,Nigeria,2021-08-03,2021,8,3
WAQ46054,AY.99,membrane glycoprotein,222,Nigeria,2021-08-03,2021,8,3
WAQ46055,AY.99,ORF6 protein,61,Nigeria,2021-08-03,2021,8,3
WAQ46056,AY.99,ORF7a protein,121,Nigeria,2021-08-03,2021,8,3
WAQ46057,AY.99,ORF7b protein,43,Nigeria,2021-08-03,2021,8,3
WAQ46058,AY.99,ORF8 protein,119,Nigeria,2021-08-03,2021,8,3
WAQ46059,AY.99,nucleocapsid phosphoprotein,419,Nigeria,2021-08-03,2021,8,3
WAQ46060,AY.99,ORF10 protein,38,Nigeria,2021-08-03,2021,8,3
WAQ46251,AY.112,ORF1ab polyprotein,7096,Nigeria,2021-08-07,2021,8,7
WAQ46252,AY.112,ORF1a polyprotein,4405,Nigeria,2021-08-07,2021,8,7
WAQ46253,AY.112,surface glycoprotein,1271,Nigeria,2021-08-07,2021,8,7
WAQ46254,AY.112,ORF3a protein,275,Nigeria,2021-08-07,2021,8,7
WAQ46255,AY.112,envelope protein,75,Nigeria,2021-08-07,2021,8,7
WAQ46256,AY.112,membrane glycoprotein,222,Nigeria,2021-08-07,2021,8,7
WAQ46257,AY.112,ORF6 protein,61,Nigeria,2021-08-07,2021,8,7
WAQ46258,AY.112,ORF7a protein,121,Nigeria,2021-08-07,2021,8,7
WAQ46259,AY.112,ORF7b protein,43,Nigeria,2021-08-07,2021,8,7
WAQ46260,AY.112,ORF8 protein,119,Nigeria,2021-08-07,2021,8,7
WAQ46261,AY.112,nucleocapsid phosphoprotein,419,Nigeria,2021-08-07,2021,8,7
WAQ46262,AY.112,ORF10 protein,38,Nigeria,2021-08-07,2021,8,7
WAQ48290,AY.75,ORF1ab polyprotein,7096,Nigeria,2021-06-30,2021,6,30
WAQ48291,AY.75,ORF1a polyprotein,4405,Nigeria,2021-06-30,2021,6,30
WAQ48292,AY.75,surface glycoprotein,1271,Nigeria,2021-06-30,2021,6,30
WAQ48293,AY.75,ORF3a protein,275,Nigeria,2021-06-30,2021,6,30
WAQ48294,AY.75,envelope protein,75,Nigeria,2021-06-30,2021,6,30
WAQ48295,AY.75,membrane glycoprotein,222,Nigeria,2021-06-30,2021,6,30
WAQ48296,AY.75,ORF6 protein,61,Nigeria,2021-06-30,2021,6,30
WAQ48297,AY.75,ORF7a protein,121,Nigeria,2021-06-30,2021,6,30
WAQ48298,AY.75,ORF7b protein,43,Nigeria,2021-06-30,2021,6,30
WAQ48299,AY.75,ORF8 protein,119,Nigeria,2021-06-30,2021,6,30
WAQ48300,AY.75,nucleocapsid phosphoprotein,419,Nigeria,2021-06-30,2021,6,30
WAQ48301,AY.75,ORF10 protein,38,Nigeria,2021-06-30,2021,6,30
WAQ48338,AY.99,ORF1ab polyprotein,7096,Nigeria,2021-07-30,2021,7,30
WAQ48339,AY.99,ORF1a polyprotein,4405,Nigeria,2021-07-30,2021,7,30
WAQ48340,AY.99,surface glycoprotein,1271,Nigeria,2021-07-30,2021,7,30
WAQ48341,AY.99,ORF3a protein,275,Nigeria,2021-07-30,2021,7,30
WAQ48342,AY.99,envelope protein,75,Nigeria,2021-07-30,2021,7,30
WAQ48343,AY.99,membrane glycoprotein,222,Nigeria,2021-07-30,2021,7,30
WAQ48344,AY.99,ORF6 protein,61,Nigeria,2021-07-30,2021,7,30
WAQ48345,AY.99,ORF7a protein,121,Nigeria,2021-07-30,2021,7,30
WAQ48346,AY.99,ORF7b protein,43,Nigeria,2021-07-30,2021,7,30
WAQ48347,AY.99,ORF8 protein,119,Nigeria,2021-07-30,2021,7,30
WAQ48348,AY.99,nucleocapsid phosphoprotein,419,Nigeria,2021-07-30,2021,7,30
WAQ48349,AY.99,ORF10 protein,38,Nigeria,2021-07-30,2021,7,30
WAQ53684,AY.36,ORF1ab polyprotein,7096,Nigeria,2021-06-10,2021,6,10
WAQ53685,AY.36,ORF1a polyprotein,4405,Nigeria,2021-06-10,2021,6,10
WAQ53686,AY.36,surface glycoprotein,1271,Nigeria,2021-06-10,2021,6,10
WAQ53687,AY.36,ORF3a protein,275,Nigeria,2021-06-10,2021,6,10
WAQ53688,AY.36,envelope protein,75,Nigeria,2021-06-10,2021,6,10
WAQ53689,AY.36,membrane glycoprotein,222,Nigeria,2021-06-10,2021,6,10
WAQ53690,AY.36,ORF6 protein,61,Nigeria,2021-06-10,2021,6,10
WAQ53691,AY.36,ORF7a protein,121,Nigeria,2021-06-10,2021,6,10
WAQ53692,AY.36,ORF7b protein,43,Nigeria,2021-06-10,2021,6,10
WAQ53693,AY.36,ORF8 protein,119,Nigeria,2021-06-10,2021,6,10
WAQ53694,AY.36,nucleocapsid phosphoprotein,419,Nigeria,2021-06-10,2021,6,10
WAQ53695,AY.36,ORF10 protein,38,Nigeria,2021-06-10,2021,6,10
WAQ53708,AY.36,ORF1ab polyprotein,7096,Nigeria,2021-09-06,2021,9,6
WAQ53709,AY.36,ORF1a polyprotein,4405,Nigeria,2021-09-06,2021,9,6
WAQ53710,AY.36,surface glycoprotein,1271,Nigeria,2021-09-06,2021,9,6
WAQ53711,AY.36,ORF3a protein,275,Nigeria,2021-09-06,2021,9,6
WAQ53712,AY.36,envelope protein,75,Nigeria,2021-09-06,2021,9,6
WAQ53713,AY.36,membrane glycoprotein,222,Nigeria,2021-09-06,2021,9,6
WAQ53714,AY.36,ORF6 protein,61,Nigeria,2021-09-06,2021,9,6
WAQ53715,AY.36,ORF7a protein,121,Nigeria,2021-09-06,2021,9,6
WAQ53716,AY.36,ORF7b protein,43,Nigeria,2021-09-06,2021,9,6
WAQ53717,AY.36,ORF8 protein,119,Nigeria,2021-09-06,2021,9,6
WAQ53718,AY.36,nucleocapsid phosphoprotein,419,Nigeria,2021-09-06,2021,9,6
WAQ53719,AY.36,ORF10 protein,38,Nigeria,2021-09-06,2021,9,6
WAQ53898,AY.99,ORF1ab polyprotein,7096,Nigeria,2021-09-03,2021,9,3
WAQ53899,AY.99,ORF1a polyprotein,4405,Nigeria,2021-09-03,2021,9,3
WAQ53900,AY.99,surface glycoprotein,1271,Nigeria,2021-09-03,2021,9,3
WAQ53901,AY.99,ORF3a protein,273,Nigeria,2021-09-03,2021,9,3
WAQ53902,AY.99,envelope protein,75,Nigeria,2021-09-03,2021,9,3
WAQ53903,AY.99,membrane glycoprotein,222,Nigeria,2021-09-03,2021,9,3
WAQ53904,AY.99,ORF6 protein,61,Nigeria,2021-09-03,2021,9,3
WAQ53905,AY.99,ORF7a protein,121,Nigeria,2021-09-03,2021,9,3
WAQ53906,AY.99,ORF7b protein,43,Nigeria,2021-09-03,2021,9,3
WAQ53907,AY.99,ORF8 protein,119,Nigeria,2021-09-03,2021,9,3
WAQ53908,AY.99,nucleocapsid phosphoprotein,419,Nigeria,2021-09-03,2021,9,3
WAQ53909,AY.99,ORF10 protein,38,Nigeria,2021-09-03,2021,9,3
WAQ53946,AY.109,ORF1ab polyprotein,7096,Nigeria,2021-09-09,2021,9,9
WAQ53947,AY.109,ORF1a polyprotein,4405,Nigeria,2021-09-09,2021,9,9
WAQ53948,AY.109,surface glycoprotein,1271,Nigeria,2021-09-09,2021,9,9
WAQ53949,AY.109,ORF3a protein,275,Nigeria,2021-09-09,2021,9,9
WAQ53950,AY.109,envelope protein,75,Nigeria,2021-09-09,2021,9,9
WAQ53951,AY.109,membrane glycoprotein,222,Nigeria,2021-09-09,2021,9,9
WAQ53952,AY.109,ORF6 protein,61,Nigeria,2021-09-09,2021,9,9
WAQ53953,AY.109,ORF7a protein,121,Nigeria,2021-09-09,2021,9,9
WAQ53954,AY.109,ORF7b protein,43,Nigeria,2021-09-09,2021,9,9
WAQ53955,AY.109,ORF8 protein,119,Nigeria,2021-09-09,2021,9,9
WAQ53956,AY.109,nucleocapsid phosphoprotein,419,Nigeria,2021-09-09,2021,9,9
WAQ53957,AY.109,ORF10 protein,38,Nigeria,2021-09-09,2021,9,9
WAQ54231,AY.36,ORF1ab polyprotein,7094,Nigeria,2021-10-01,2021,10,1
WAQ54232,AY.36,ORF1a polyprotein,4403,Nigeria,2021-10-01,2021,10,1
WAQ54233,AY.36,surface glycoprotein,1271,Nigeria,2021-10-01,2021,10,1
WAQ54234,AY.36,ORF3a protein,275,Nigeria,2021-10-01,2021,10,1
WAQ54235,AY.36,envelope protein,75,Nigeria,2021-10-01,2021,10,1
WAQ54236,AY.36,membrane glycoprotein,222,Nigeria,2021-10-01,2021,10,1
WAQ54237,AY.36,ORF6 protein,61,Nigeria,2021-10-01,2021,10,1
WAQ54238,AY.36,ORF7a protein,121,Nigeria,2021-10-01,2021,10,1
WAQ54239,AY.36,ORF7b protein,43,Nigeria,2021-10-01,2021,10,1
WAQ54240,AY.36,ORF8 protein,119,Nigeria,2021-10-01,2021,10,1
WAQ54241,AY.36,nucleocapsid phosphoprotein,419,Nigeria,2021-10-01,2021,10,1
WAQ54242,AY.36,ORF10 protein,38,Nigeria,2021-10-01,2021,10,1
WAQ54756,AY.36,ORF1ab polyprotein,7096,Nigeria,2021-11-10,2021,11,10
WAQ54757,AY.36,ORF1a polyprotein,4405,Nigeria,2021-11-10,2021,11,10
WAQ54758,AY.36,surface glycoprotein,1271,Nigeria,2021-11-10,2021,11,10
WAQ54759,AY.36,ORF3a protein,275,Nigeria,2021-11-10,2021,11,10
WAQ54760,AY.36,envelope protein,75,Nigeria,2021-11-10,2021,11,10
WAQ54761,AY.36,membrane glycoprotein,222,Nigeria,2021-11-10,2021,11,10
WAQ54762,AY.36,ORF6 protein,61,Nigeria,2021-11-10,2021,11,10
WAQ54763,AY.36,ORF7a protein,121,Nigeria,2021-11-10,2021,11,10
WAQ54764,AY.36,ORF7b protein,43,Nigeria,2021-11-10,2021,11,10
WAQ54765,AY.36,ORF8 protein,119,Nigeria,2021-11-10,2021,11,10
WAQ54766,AY.36,nucleocapsid phosphoprotein,419,Nigeria,2021-11-10,2021,11,10
WAQ54767,AY.36,ORF10 protein,38,Nigeria,2021-11-10,2021,11,10
WAQ55866,AY.109,ORF1ab polyprotein,7096,Nigeria,2021-10-02,2021,10,2
WAQ55867,AY.109,ORF1a polyprotein,4405,Nigeria,2021-10-02,2021,10,2
WAQ55868,AY.109,surface glycoprotein,1271,Nigeria,2021-10-02,2021,10,2
WAQ55869,AY.109,ORF3a protein,275,Nigeria,2021-10-02,2021,10,2
WAQ55870,AY.109,envelope protein,75,Nigeria,2021-10-02,2021,10,2
WAQ55871,AY.109,membrane glycoprotein,222,Nigeria,2021-10-02,2021,10,2
WAQ55872,AY.109,ORF6 protein,61,Nigeria,2021-10-02,2021,10,2
WAQ55873,AY.109,ORF7a protein,121,Nigeria,2021-10-02,2021,10,2
WAQ55874,AY.109,ORF7b protein,43,Nigeria,2021-10-02,2021,10,2
WAQ55875,AY.109,ORF8 protein,119,Nigeria,2021-10-02,2021,10,2
WAQ55876,AY.109,nucleocapsid phosphoprotein,419,Nigeria,2021-10-02,2021,10,2
WAQ55877,AY.109,ORF10 protein,38,Nigeria,2021-10-02,2021,10,2
WAQ56681,B.1.617.2,ORF1ab polyprotein,7096,Nigeria,2021-09-06,2021,9,6
WAQ56682,B.1.617.2,ORF1a polyprotein,4405,Nigeria,2021-09-06,2021,9,6
WAQ56683,B.1.617.2,surface glycoprotein,1271,Nigeria,2021-09-06,2021,9,6
WAQ56684,B.1.617.2,ORF3a protein,275,Nigeria,2021-09-06,2021,9,6
WAQ56685,B.1.617.2,envelope protein,75,Nigeria,2021-09-06,2021,9,6
WAQ56686,B.1.617.2,membrane glycoprotein,222,Nigeria,2021-09-06,2021,9,6
WAQ56687,B.1.617.2,ORF6 protein,61,Nigeria,2021-09-06,2021,9,6
WAQ56688,B.1.617.2,ORF7a protein,121,Nigeria,2021-09-06,2021,9,6
WAQ56689,B.1.617.2,ORF7b protein,43,Nigeria,2021-09-06,2021,9,6
WAQ56690,B.1.617.2,ORF8 protein,119,Nigeria,2021-09-06,2021,9,6
WAQ56691,B.1.617.2,nucleocapsid phosphoprotein,419,Nigeria,2021-09-06,2021,9,6
WAQ56692,B.1.617.2,ORF10 protein,38,Nigeria,2021-09-06,2021,9,6
WAQ57874,AY.122,ORF1ab polyprotein,7096,Nigeria,2021-08-30,2021,8,30
WAQ57875,AY.122,ORF1a polyprotein,4405,Nigeria,2021-08-30,2021,8,30
WAQ57876,AY.122,surface glycoprotein,1271,Nigeria,2021-08-30,2021,8,30
WAQ57877,AY.122,ORF3a protein,275,Nigeria,2021-08-30,2021,8,30
WAQ57878,AY.122,envelope protein,75,Nigeria,2021-08-30,2021,8,30
WAQ57879,AY.122,membrane glycoprotein,222,Nigeria,2021-08-30,2021,8,30
WAQ57880,AY.122,ORF6 protein,61,Nigeria,2021-08-30,2021,8,30
WAQ57881,AY.122,ORF7a protein,121,Nigeria,2021-08-30,2021,8,30
WAQ57882,AY.122,ORF7b protein,43,Nigeria,2021-08-30,2021,8,30
WAQ57883,AY.122,ORF8 protein,119,Nigeria,2021-08-30,2021,8,30
WAQ57884,AY.122,nucleocapsid phosphoprotein,419,Nigeria,2021-08-30,2021,8,30
WAQ57885,AY.122,ORF10 protein,38,Nigeria,2021-08-30,2021,8,30
WAQ62131,BA.1.17.2,ORF1ab polyprotein,7092,Nigeria,2021-12-19,2021,12,19
WAQ62132,BA.1.17.2,ORF1a polyprotein,4401,Nigeria,2021-12-19,2021,12,19
WAQ62133,BA.1.17.2,surface glycoprotein,1270,Nigeria,2021-12-19,2021,12,19
WAQ62134,BA.1.17.2,ORF3a protein,275,Nigeria,2021-12-19,2021,12,19
WAQ62135,BA.1.17.2,envelope protein,75,Nigeria,2021-12-19,2021,12,19
WAQ62136,BA.1.17.2,membrane glycoprotein,222,Nigeria,2021-12-19,2021,12,19
WAQ62137,BA.1.17.2,ORF6 protein,61,Nigeria,2021-12-19,2021,12,19
WAQ62138,BA.1.17.2,ORF7a protein,121,Nigeria,2021-12-19,2021,12,19
WAQ62139,BA.1.17.2,ORF7b protein,43,Nigeria,2021-12-19,2021,12,19
WAQ62140,BA.1.17.2,ORF8 protein,121,Nigeria,2021-12-19,2021,12,19
WAQ62141,BA.1.17.2,nucleocapsid phosphoprotein,416,Nigeria,2021-12-19,2021,12,19
WAQ62142,BA.1.17.2,ORF10 protein,38,Nigeria,2021-12-19,2021,12,19
WAQ62155,BA.1,ORF1ab polyprotein,7092,Nigeria,2021-12-22,2021,12,22
WAQ62156,BA.1,ORF1a polyprotein,4401,Nigeria,2021-12-22,2021,12,22
WAQ62157,BA.1,surface glycoprotein,1270,Nigeria,2021-12-22,2021,12,22
WAQ62158,BA.1,ORF3a protein,275,Nigeria,2021-12-22,2021,12,22
WAQ62159,BA.1,envelope protein,75,Nigeria,2021-12-22,2021,12,22
WAQ62160,BA.1,membrane glycoprotein,222,Nigeria,2021-12-22,2021,12,22
WAQ62161,BA.1,ORF6 protein,61,Nigeria,2021-12-22,2021,12,22
WAQ62162,BA.1,ORF7a protein,121,Nigeria,2021-12-22,2021,12,22
WAQ62163,BA.1,ORF7b protein,43,Nigeria,2021-12-22,2021,12,22
WAQ62164,BA.1,ORF8 protein,121,Nigeria,2021-12-22,2021,12,22
